"id","host_response_rate","host_response_time","host_is_superhost","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms","bedrooms","bed_type","price","weekly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","has_availability","last_review","review_scores_rating","instant_bookable","cancellation_policy","profit","days_listed"
"2318","89%","within an hour",TRUE,"Central Area","House","Entire home/apt",9,2.5,4,"Real Bed","296.00",NA,"$500.00","$250.00",8,"$25.00",1,TRUE,2020-02-01,100,TRUE,"strict_14_with_grace_period",50877,137
"9534","100%","within a few hours",TRUE,"West Seattle","Guest suite","Entire home/apt",3,1,2,"Real Bed","125.00","$825.00","$400.00","$95.00",2,"$5.00",2,TRUE,2020-05-17,100,FALSE,"strict_14_with_grace_period",10440,72
"14386","100%","within an hour",FALSE,"Other neighborhoods","House","Private room",2,1.5,1,"Futon","40.00","$225.00",NA,NA,1,"$10.00",30,TRUE,2020-04-30,92,FALSE,"strict_14_with_grace_period",5438,145
"17951","100%","within an hour",TRUE,"West Seattle","Guest suite","Entire home/apt",2,1,0,"Real Bed","105.00","$630.00","$300.00","$50.00",2,"$0.00",2,TRUE,2020-05-26,98,TRUE,"flexible",2388,36
"19619","100%","within an hour",TRUE,"Downtown","Condominium","Entire home/apt",4,1,1,"Real Bed","74.00",NA,"$500.00","$107.00",1,"$0.00",2,TRUE,2020-06-05,97,FALSE,"strict_14_with_grace_period",7878,87
"20927","100%","within a day",TRUE,"Ballard","Guesthouse","Entire home/apt",2,1,1,"Futon","89.00","$549.00","$0.00","$20.00",2,"$0.00",2,TRUE,2020-03-17,97,TRUE,"moderate",15076,164
"20928","100%","within a day",TRUE,"Ballard","Guest suite","Entire home/apt",2,1,1,"Futon","79.00","$499.00","$0.00","$20.00",1,"$0.00",2,TRUE,2020-02-25,97,TRUE,"moderate",13673,167
"24212","100%","within an hour",TRUE,"Downtown","Condominium","Entire home/apt",6,1,2,"Real Bed","94.00",NA,"$500.00","$130.00",6,"$0.00",1,TRUE,2020-05-25,95,FALSE,"strict_14_with_grace_period",15705,53
"25002","100%","within an hour",TRUE,"Ballard","Guest suite","Entire home/apt",4,1,1,"Real Bed","70.00","$525.00","$0.00","$15.00",2,"$15.00",2,TRUE,2020-06-12,98,TRUE,"flexible",2725,33
"30712","100%","within an hour",FALSE,"Ballard","Apartment","Entire home/apt",3,1,1,"Real Bed","64.00","$475.00","$0.00","$50.00",1,"$0.00",3,TRUE,2020-03-17,88,TRUE,"moderate",1282,19
"37234","100%","within an hour",FALSE,"Ballard","House","Entire home/apt",2,1,1,"Real Bed","99.00",NA,NA,"$30.00",1,"$0.00",2,TRUE,2020-06-01,85,FALSE,"strict_14_with_grace_period",396,4
"48848","100%","within a few hours",TRUE,"Other neighborhoods","Guest suite","Entire home/apt",2,1,1,"Real Bed","80.00",NA,"$0.00","$125.00",2,"$25.00",5,TRUE,2020-06-09,99,FALSE,"moderate",9040,113
"63733","100%","within a day",FALSE,"Ballard","Apartment","Entire home/apt",2,1,1,"Real Bed","76.00",NA,"$0.00","$10.00",2,"$0.00",3,TRUE,2020-03-13,97,TRUE,"flexible",2524,35
"84271","N/A","N/A",TRUE,"Capitol Hill","Guest suite","Entire home/apt",4,1,2,"Real Bed","95.00",NA,"$100.00","$100.00",2,"$0.00",1,TRUE,2020-02-23,99,FALSE,"flexible",19565,167
"107884","100%","within an hour",TRUE,"West Seattle","Apartment","Entire home/apt",4,1,1,"Real Bed","92.00","$585.00","$300.00","$30.00",2,"$20.00",2,TRUE,2020-03-08,98,FALSE,"moderate",14024,151
"117165","100%","within an hour",TRUE,"West Seattle","House","Private room",2,1,1,"Real Bed","150.00","$650.00","$200.00","$75.00",1,"$20.00",2,TRUE,2020-04-05,99,FALSE,"strict_14_with_grace_period",480,5
"119103","100%","within an hour",TRUE,"Other neighborhoods","Guesthouse","Entire home/apt",3,1,1,"Real Bed","79.00",NA,"$250.00",NA,2,"$10.00",3,TRUE,2020-02-27,98,FALSE,"moderate",553,7
"132120","100%","within a day",FALSE,"Other neighborhoods","Apartment","Entire home/apt",4,1,1,"Real Bed","110.00","$600.00",NA,"$40.00",2,"$10.00",2,TRUE,2020-03-20,94,FALSE,"moderate",2112,33
"132160","100%","within a few hours",FALSE,"Other neighborhoods","Guest suite","Entire home/apt",6,1,2,"Real Bed","150.00",NA,"$400.00","$90.00",3,"$20.00",3,TRUE,2020-06-15,97,FALSE,"strict_14_with_grace_period",1825,17
"140331","N/A","N/A",FALSE,"Central Area","House","Private room",2,1,1,"Real Bed","75.00","$480.00",NA,"$40.00",3,"$0.00",1,TRUE,2020-03-14,97,FALSE,"flexible",2990,46
"143580","N/A","N/A",FALSE,"Beacon Hill","Condominium","Private room",2,0,1,"Real Bed","89.00",NA,"$100.00",NA,1,"$0.00",2,TRUE,2020-02-14,94,TRUE,"moderate",170,2
"143704","N/A","N/A",TRUE,"Central Area","House","Entire home/apt",3,1,1,"Real Bed","99.00","$575.00","$100.00","$99.00",2,"$40.00",3,TRUE,2020-03-01,97,FALSE,"moderate",4598,45
"151545","100%","within a few hours",TRUE,"Capitol Hill","Condominium","Entire home/apt",4,1,2,"Real Bed","199.00","$1,000.00","$500.00","$199.00",4,"$0.00",5,TRUE,2020-03-16,99,FALSE,"strict_14_with_grace_period",8093,37
"170273","100%","within a day",TRUE,"Queen Anne","House","Entire home/apt",6,2.5,3,"Real Bed","750.00",NA,"$500.00","$175.00",6,"$0.00",7,TRUE,2020-03-14,100,FALSE,"moderate",11772,24
"215882","100%","within a few hours",TRUE,"Rainier Valley","Bungalow","Entire home/apt",2,1,1,"Real Bed","80.00",NA,"$125.00","$75.00",2,"$25.00",3,TRUE,2020-03-13,98,FALSE,"moderate",14444,152
"217142","91%","within a few hours",TRUE,"Downtown","Condominium","Entire home/apt",6,2,2,"Real Bed","200.00","$1,530.00","$200.00","$115.00",1,"$0.00",2,TRUE,2020-03-04,95,FALSE,"strict_14_with_grace_period",9420,29
"224763","91%","within a few hours",TRUE,"Downtown","Condominium","Entire home/apt",4,1,1,"Real Bed","139.00",NA,"$300.00","$95.00",1,"$0.00",1,TRUE,2020-06-11,95,FALSE,"strict_14_with_grace_period",6344,36
"226677","100%","within a few hours",TRUE,"Beacon Hill","Apartment","Private room",2,3,1,"Real Bed","55.00","$400.00","$100.00","$20.00",1,"$15.00",2,TRUE,2020-05-05,96,FALSE,"moderate",315,7
"251922","100%","within a few hours",FALSE,"West Seattle","Guest suite","Entire home/apt",5,1,2,"Real Bed","73.00","$558.00","$250.00","$90.00",2,"$15.00",2,TRUE,2020-06-05,94,FALSE,"moderate",730,7
"260613","100%","within an hour",TRUE,"Ballard","Guest suite","Entire home/apt",2,1,1,"Real Bed","100.00","$900.00","$1,000.00","$100.00",1,"$10.00",1,TRUE,2020-02-16,98,TRUE,"moderate",900,9
